Pays par année	1894	1895	1896	1897	1898	1902	1904	1906	Total général
France	209	308	321	244	340	350	529	501	2802
England	87	110	131	150	82	33	35	64	692
United States of America	45	39	41	35	42	38	95	29	364
Belgium	18	26	82	39	29	65	47	51	357
Austria	52	58	28	33	88				259
Germany	5	9	16	43	55	7	5	1	141
Scotland	25	15	18	11	13	22	14	7	125
Switzerland	30	9	12	6	9	8	10	6	90
Italy	9	20		3	2		10	14	58
Netherlands	12	25	1	9		4	3	2	56
Russia	22	5	1		2	6			36
Spain			1	1		3		11	16
Denmark						8	5		13
Czech Republic					6			1	7
Republic of Ireland			4	3					7
Poland					5				5
Wales				1	3				4
Portugal	1					2		1	4
Egypt								3	3
Hungary								2	2
Ukraine					1	1			2
Australia				1	1				2
Luxembourg								2	2
Croatia					1				1
Georgia					1				1
Slovakia					1				1
Total général	515	624	656	579	681	547	753	695	5050