Ville par année	1904	1906	1902	1898	1896	1895	1897	1894	Total général
Paris	331	277	232	238	181	206	177	109	1751
Tours	11	8		11	24	6	3	14	77
Lille	18	8	11	7	14	7	7	4	76
Boulogne-sur-Mer	4	1	1	14	10	10	7	6	53
Nancy	20		3	8	6	6	7		50
Marseille	10	21	12	1					44
Neuilly-sur-Seine	5	13	2	4	12		3	3	42
Rennes	12	17					1		30
Versailles	3		6	6	9		3	2	29
Lacanche		2			6	6	5	7	26
Bordeaux	6	11	3	2			2		24
Saint-Claude	6	6	7						19
Douai	3	1	1	2	4	4	1	3	19
Aix-en-Provence	6	6	5						17
Caen		2	1	2	4	3	3	1	16
Le Vésinet	2		4		4	4		2	16
Magny-en-Vexin				3	5	4	4		16
Nice	4	5	5					1	15
Fontenay-sous-Bois	6	4	3			1			14
Rouen		3	2	1	1	3		3	13
Châteauroux					5	4	1	3	13
Sainte-Catherine	1	1	2	2	2	2	1	2	13
Le Mans	5	4	4						13
Morlaix	3	4	4						11
Lyon	2			1	4	4			11
La Fère	2	3	6						11
Vincennes	4	3	4						11
Toulouse	2				1	2	3	2	10
Nantes					1	2		6	9
Arcachon	3	4	2						9
Saint-Étienne	3		2					3	8
Grenoble					3			5	8
Gleizé				2	1	3		2	8
Méru					2	2	1	3	8
Parthenay								6	6
Suresnes	2	4							6
Quimper					4	2			6
Dijon				2			4		6
Moulins					3	3			6
Le Havre					4	2			6
Pierrepont-sur-Avre		6							6
Le Raincy						6			6
Châteaudun				6					6
Amiens		6							6
Mantes-la-Jolie	2		1	1			2		6
La Madeleine		5							5
Saint-Laurent-sur-Sèvre		4	1						5
Beaumont-la-Ferrière		5							5
La Rochelle		4			1				5
Pau	4		1						5
Calais	5								5
Malo-les-Bains		5							5
Déville-lès-Rouen	2		1			2			5
Saint-Avertin						5			5
Noailhac								5	5
Colombes				1		2	2		5
Saurat				5					5
Arnay-le-Duc			1	4					5
Bois-Colombes			5						5
Cognac				4			1		5
Reims	2	1	1						4
Choisy-le-Roi		4							4
Saint-Servan-sur-Mer	1		3						4
Antony		4							4
Allonne					1	3			4
Levallois-Perret				1	2		1		4
Saint-Cyr-l'École	2	2							4
Dunkirk	2		2						4
Semur-en-Auxois		4							4
Épernay		4							4
Montmorency				4					4
Asnières-sur-Seine	3	1							4
Brest				2			1		3
Dieulefit		2	1						3
Compiègne		3							3
Fontenay-Saint-Père				1	1		1		3
Strasbourg	1	2							3
Valence					3				3
Montreuil		3							3
Nonancourt	1	1	1						3
Saint-Germain-en-Laye		1	1				1		3
Malzéville			2		1				3
Meulan-en-Yvelines	3								3
Pont-l'Évêque	1	1		1					3
Taverny	2		1						3
Dreux	3								3
Tourcoing		3							3
Bayonne	2	1							3
Bourg-la-Reine		3							3
Pontoise		1	2						3
Arras	2								2
Saint-Nazaire		2							2
Château-Renard						2			2
Nogent-sur-Marne	2								2
Saumur								2	2
Boulogne-Billancourt	1	1							2
Courbevoie	1		1						2
Menton								2	2
Saint-Maur	2								2
Hyères	2								2
Bourges	2								2
Montauban				2					2
Les Aix-d'Angillon		2							2
Bonrepos						1		1	2
Beauvais					1	1			2
Montpellier	2								2
Vienne								2	2
Cuisery		2							2
Saint-Maclou								2	2
Bayeux		1							1
Jeumont		1							1
Tarare		1							1
Gray								1	1
Verneuil-sur-Avre		1							1
Menneval	1								1
Albi					1				1
Saint-Gratien	1								1
Sablé-sur-Sarthe								1	1
Mehun-sur-Yèvre	1								1
Gagny	1								1
Le Creusot	1								1
Saint-Cloud								1	1
Saint-Mandé			1						1
Sillery								1	1
Port-Launay		1							1
Antibes		1							1
Saint-Maur-des-Fossés								1	1
Clamart							1		1
Guérigny		1							1
Carcassonne			1						1
Abbeville		1							1
Troyes				1					1
Chervinges							1		1
Valenciennes		1							1
Saintes			1						1
Béziers								1	1
Maisons-Laffitte				1					1
Angers								1	1
Demigny		1							1
Muzillac								1	1
Total général	529	501	350	340	321	308	244	209	2802